040001001,"Inilah silsilah Yesus Kristus, anak Daud, anak Abraham."
040001002,"Abraham memperanakkan Ishak, Ishak memperanakkan Yakub, Yakub memperanakkan Yehuda dan saudara-saudaranya,"
040001003,"Yehuda memperanakkan Peres dan Zerah dari Tamar, Peres memperanakkan Hezron, Hezron memperanakkan Ram,"
040001004,"Ram memperanakkan Aminadab, Aminadab memperanakkan Nahason, Nahason memperanakkan Salmon,"
040001005,"Salmon memperanakkan Boas dari Rahab, Boas memperanakkan Obed dari Rut, Obed memperanakkan Isai,"
040001006,"Isai memperanakkan raja Daud. Daud memperanakkan Salomo dari isteri Uria,"
040001007,"Salomo memperanakkan Rehabeam, Rehabeam memperanakkan Abia, Abia memperanakkan Asa,"
040001008,"Asa memperanakkan Yosafat, Yosafat memperanakkan Yoram, Yoram memperanakkan Uzia,"
040001009,"Uzia memperanakkan Yotam, Yotam memperanakkan Ahas, Ahas memperanakkan Hizkia,"
040001010,"Hizkia memperanakkan Manasye, Manasye memperanakkan Amon, Amon memperanakkan Yosia,"
040001011,"Yosia memperanakkan Yekhonya dan saudara-saudaranya pada waktu pembuangan ke Babel."
040001012,"Sesudah pembuangan ke Babel, Yekhonya memperanakkan Sealtiel, Sealtiel memperanakkan Zerubabel,"
040001013,"Zerubabel memperanakkan Abihud, Abihud memperanakkan Elyakim, Elyakim memperanakkan Azor,"
040001014,"Azor memperanakkan Zadok, Zadok memperanakkan Akhim, Akhim memperanakkan Eliud,"
040001015,"Eliud memperanakkan Eleazar, Eleazar memperanakkan Matan, Matan memperanakkan Yakub,"
040001016,"Yakub memperanakkan Yusuf suami Maria, yang melahirkan Yesus yang disebut Kristus."
040001017,"Jadi seluruhnya ada: empat belas keturunan dari Abraham sampai Daud, empat belas keturunan dari Daud sampai pembuangan ke Babel, dan empat belas keturunan dari pembuangan ke Babel sampai Kristus."
040001018,"Kelahiran Yesus Kristus adalah seperti berikut: Pada waktu Maria, ibu-Nya, bertunangan dengan Yusuf, ternyata ia mengandung dari Roh Kudus, sebelum mereka hidup sebagai suami isteri."
040001019,"Karena Yusuf suaminya, seorang yang tulus hati dan tidak mau mencemarkan nama isterinya di muka umum, ia bermaksud menceraikannya dengan diam-diam."
040001020,"Tetapi ketika ia mempertimbangkan maksud itu, malaikat Tuhan nampak kepadanya dalam mimpi dan berkata: $Yusuf, anak Daud, janganlah engkau takut mengambil Maria sebagai isterimu, sebab anak yang di dalam kandungannya adalah dari Roh Kudus."
040001021,"Ia akan melahirkan anak laki-laki dan engkau akan menamakan Dia Yesus, karena Dialah yang akan menyelamatkan umat-Nya dari dosa mereka.$"
040001022,"Hal itu terjadi supaya genaplah yang difirmankan Tuhan oleh nabi:"
040001023,"$Sesungguhnya, anak dara itu akan mengandung dan melahirkan seorang anak laki-laki, dan mereka akan menamakan Dia Imanuel$ -- yang berarti: Allah menyertai kita."
040001024,"Sesudah bangun dari tidurnya, Yusuf berbuat seperti yang diperintahkan malaikat Tuhan itu kepadanya. Ia mengambil Maria sebagai isterinya,"
040001025,"tetapi tidak bersetubuh dengan dia sampai ia melahirkan anaknya laki-laki dan Yusuf menamakan Dia Yesus."
040002001,"Sesudah Yesus dilahirkan di Betlehem di tanah Yudea pada zaman raja Herodes, datanglah orang-orang majus dari Timur ke Yerusalem"
040002002,"dan bertanya-tanya: $Di manakah Dia, raja orang Yahudi yang baru dilahirkan itu? Kami telah melihat bintang-Nya di Timur dan kami datang untuk menyembah Dia.$"
040002003,"Ketika raja Herodes mendengar hal itu terkejutlah ia beserta seluruh Yerusalem."
040002004,"Maka dikumpulkannya semua imam kepala dan ahli Taurat bangsa Yahudi, lalu dimintanya keterangan dari mereka, di mana Mesias akan dilahirkan."
040002005,"Mereka berkata kepadanya: $Di Betlehem di tanah Yudea, karena demikianlah ada tertulis dalam kitab nabi:"
040002006,"Dan engkau Betlehem, tanah Yehuda, engkau sekali-kali bukanlah yang terkecil di antara mereka yang memerintah Yehuda, karena dari padamulah akan bangkit seorang pemimpin, yang akan menggembalakan umat-Ku Israel.$"
040002007,"Lalu dengan diam-diam Herodes memanggil orang-orang majus itu dan dengan teliti bertanya kepada mereka, bilamana bintang itu nampak."
040002008,"Kemudian ia menyuruh mereka ke Betlehem, katanya: $Pergi dan selidikilah dengan seksama hal-hal mengenai Anak itu dan segera sesudah kamu menemukan Dia, kabarkanlah kepadaku supaya aku pun datang menyembah Dia.$"
040002009,"Setelah mendengar kata-kata raja itu, berangkatlah mereka. Dan lihatlah, bintang yang mereka lihat di Timur itu mendahului mereka hingga tiba dan berhenti di atas tempat, di mana Anak itu berada."
040002010,"Ketika mereka melihat bintang itu, sangat bersukacitalah mereka."
040002011,"Maka masuklah mereka ke dalam rumah itu dan melihat Anak itu bersama Maria, ibu-Nya, lalu sujud menyembah Dia. Mereka pun membuka tempat harta bendanya dan mempersembahkan persembahan kepada-Nya, yaitu emas, kemenyan dan mur."
040002012,"Dan karena diperingatkan dalam mimpi, supaya jangan kembali kepada Herodes, maka pulanglah mereka ke negerinya melalui jalan lain."
040002013,"Setelah orang-orang majus itu berangkat, nampaklah malaikat Tuhan kepada Yusuf dalam mimpi dan berkata: $Bangunlah, ambillah Anak itu serta ibu-Nya, larilah ke Mesir dan tinggallah di sana sampai Aku berfirman kepadamu, karena Herodes akan mencari Anak itu untuk membunuh Dia.$"
040002014,"Maka Yusuf pun bangunlah, diambilnya Anak itu serta ibu-Nya malam itu juga, lalu menyingkir ke Mesir,"
040002015,"dan tinggal di sana hingga Herodes mati. Hal itu terjadi supaya genaplah yang difirmankan Tuhan oleh nabi: $Dari Mesir Kupanggil Anak-Ku.$"
040002016,"Ketika Herodes tahu, bahwa ia telah diperdayakan oleh orang-orang majus itu, ia sangat marah. Lalu ia menyuruh membunuh semua anak di Betlehem dan sekitarnya, yaitu anak-anak yang berumur dua tahun ke bawah, sesuai dengan waktu yang dapat diketahuinya dari orang-orang majus itu."
040002017,"Dengan demikian genaplah firman yang disampaikan oleh nabi Yeremia:"
040002018,"$Terdengarlah suara di Rama, tangis dan ratap yang amat sedih; Rahel menangisi anak-anaknya dan ia tidak mau dihibur, sebab mereka tidak ada lagi.$"
040002019,"Setelah Herodes mati, nampaklah malaikat Tuhan kepada Yusuf dalam mimpi di Mesir, katanya:"
040002020,"$Bangunlah, ambillah Anak itu serta ibu-Nya dan berangkatlah ke tanah Israel, karena mereka yang hendak membunuh Anak itu, sudah mati.$"
040002021,"Lalu Yusuf pun bangunlah, diambilnya Anak itu serta ibu-Nya dan pergi ke tanah Israel."
040002022,"Tetapi setelah didengarnya, bahwa Arkhelaus menjadi raja di Yudea menggantikan Herodes, ayahnya, ia takut ke sana. Karena dinasihati dalam mimpi, pergilah Yusuf ke daerah Galilea."
040002023,"Setibanya di sana ia pun tinggal di sebuah kota yang bernama Nazaret. Hal itu terjadi supaya genaplah firman yang disampaikan oleh nabi-nabi, bahwa Ia akan disebut: Orang Nazaret."
040003001,"Pada waktu itu tampillah Yohanes Pembaptis di padang gurun Yudea dan memberitakan:"
040003002,"$Bertobatlah, sebab Kerajaan Sorga sudah dekat!$"
040003003,"Sesungguhnya dialah yang dimaksudkan nabi Yesaya ketika ia berkata:<br>$Ada suara orang yang berseru-seru di padang gurun:<br>Persiapkanlah jalan untuk Tuhan,<br>luruskanlah jalan bagi-Nya.$"
040003004,"Yohanes memakai jubah bulu unta dan ikat pinggang kulit, dan makanannya belalang dan madu hutan."
040003005,"Maka datanglah kepadanya penduduk dari Yerusalem, dari seluruh Yudea dan dari seluruh daerah sekitar Yordan."
040003006,"Lalu sambil mengaku dosanya mereka dibaptis oleh Yohanes di sungai Yordan."
040003007,"Tetapi waktu ia melihat banyak orang Farisi dan orang Saduki datang untuk dibaptis, berkatalah ia kepada mereka: $Hai kamu keturunan ular beludak. Siapakah yang mengatakan kepada kamu, bahwa kamu dapat melarikan diri dari murka yang akan datang?"
040003008,"Jadi hasilkanlah buah yang sesuai dengan pertobatan."
040003009,"Dan janganlah mengira, bahwa kamu dapat berkata dalam hatimu: Abraham adalah bapa kami! Karena aku berkata kepadamu: Allah dapat menjadikan anak-anak bagi Abraham dari batu-batu ini!"
040003010,"Kapak sudah tersedia pada akar pohon dan setiap pohon yang tidak menghasilkan buah yang baik, pasti ditebang dan dibuang ke dalam api."
040003011,"Aku membaptis kamu dengan air sebagai tanda pertobatan, tetapi Ia yang datang kemudian dari padaku lebih berkuasa dari padaku dan aku tidak layak melepaskan kasut-Nya. Ia akan membaptiskan kamu dengan Roh Kudus dan dengan api."
